trade_id;entry_time;entry_time_2;exit_time;direction;entry_price;entry_price_2;avg_entry_price;exit_price;entry_sma;exit_sma;event_close;event_sma;tp_price;sl_price;exit_reason;pnl;pnl_usd;filter_passed;event_timestamp;has_grid_entry
12;2025-11-04 15:30:03.021;;2025-11-04 15:30:04.021;BUY;25728,0;;25728,0;25733,0;25739,4025;25739,31625;25738,0;25739,52625;25733,0;25719,0;profit;5,0;100,0;True;2025-11-04 15:30:01.021;False
13;2025-11-04 15:31:17.021;;2025-11-04 15:31:19.021;SELL;25741,5;;25741,5;25736,5;25733,3;25733,39875;25731,5;25739,4675;25736,5;25750,5;profit;5,0;100,0;True;2025-11-04 15:30:02.021;False
14;2025-11-04 15:30:05.021;;2025-11-04 15:30:08.021;BUY;25721,5;;25721,5;25712,5;25739,195;25738,825;25731,5;25739,4675;25726,5;25712,5;stop;-9,0;-180,0;True;2025-11-04 15:30:02.021;False
15;2025-11-04 15:31:17.021;;2025-11-04 15:31:19.021;SELL;25740,75;;25740,75;25735,75;25733,3;25733,39875;25730,75;25739,4025;25735,75;25749,75;profit;5,0;100,0;True;2025-11-04 15:30:03.021;False
16;2025-11-04 15:30:05.021;;2025-11-04 15:30:07.021;BUY;25720,75;;25720,75;25725,75;25739,195;25738,97375;25730,75;25739,4025;25725,75;25711,75;profit;5,0;100,0;True;2025-11-04 15:30:03.021;False
17;2025-11-04 15:30:35.021;;2025-11-04 15:30:37.021;SELL;25728,25;;25728,25;25723,25;25734,9;25734,705;25718,25;25739,195;25723,25;25737,25;profit;5,0;100,0;True;2025-11-04 15:30:05.021;False
18;2025-11-04 15:30:21.021;;2025-11-04 15:30:22.021;BUY;25708,25;;25708,25;25713,25;25736,85875;25736,70625;25718,25;25739,195;25713,25;25699,25;profit;5,0;100,0;True;2025-11-04 15:30:05.021;False
19;2025-11-04 15:31:46.021;;2025-11-04 15:31:50.021;BUY;25743,0;;25743,0;25748,0;25734,05;25734,16125;25753,0;25733,38125;25748,0;25734,0;profit;5,0;100,0;True;2025-11-04 15:31:32.021;False
20;2025-11-04 15:35:07.021;;2025-11-04 15:35:16.021;SELL;25687,75;;25687,75;25696,75;25698,37;25695,785;25677,75;25704,78125;25682,75;25696,75;stop;-9,0;-180,0;True;2025-11-04 15:34:49.021;False
21;2025-11-04 15:35:55.021;;2025-11-04 15:36:01.021;BUY;25667,75;;25667,75;25672,75;25685,75125;25684,0125;25677,75;25704,78125;25672,75;25658,75;profit;5,0;100,0;True;2025-11-04 15:34:49.021;False
